run_id,producers,consumers,capacity,duration_seconds,effective_ops_per_sec,cycles,instructions,ipc,branches,branch_misses,branch_miss_rate,cache_references,cache_misses,cache_miss_rate,elapsed_seconds
20260412_130039,3,3,32768,1,9992062.57,17388311243,7881896376,0.4533,1188037351,6458959,0.005437,161508386,40590391,0.251321,1.005383
20260412_130043,3,4,32768,1,10328806.20,18087341147,7561548847,0.4181,1139003323,8105232,0.007116,152322461,41209713,0.270543,1.005164
20260412_130046,3,5,32768,1,9417414.07,16800788787,7527127240,0.4480,1140834516,8287777,0.007265,147121554,34237938,0.232719,1.007559
20260412_130050,3,6,32768,1,8417798.41,15366639194,7998087129,0.5205,1208465548,6917935,0.005725,140651423,30925344,0.219872,1.004989
20260412_130053,3,7,32768,1,9368036.50,16946230516,7585882923,0.4476,1146487989,8787266,0.007665,149338611,34843107,0.233316,1.002669
20260412_130057,3,8,32768,1,9186300.31,16708003274,7647607646,0.4577,1154218926,7915532,0.006858,147757589,34293490,0.232093,1.008353
20260412_130101,3,9,32768,1,8511230.11,16584030071,7725135808,0.4658,1157192850,7815272,0.006754,147032610,33713453,0.229292,1.006388
20260412_130104,3,10,32768,1,8357819.22,15487882119,7545133804,0.4872,1136920141,8408447,0.007396,144359503,35253011,0.244203,1.006823
20260412_130108,3,11,32768,1,9344234.12,14776901166,7225102484,0.4889,1087344676,8180767,0.007524,135284238,32005155,0.236577,1.007406
20260412_130112,3,12,32768,1,7519610.92,16647076537,7723986096,0.4640,1177472666,9220965,0.007831,151000369,36790217,0.243643,1.009287
20260412_130115,4,1,32768,1,8192217.66,15717626698,7345828999,0.4674,1100247677,8430864,0.007663,143352380,35010994,0.244230,1.004546
20260412_130119,4,2,32768,1,9255241.63,15549475979,8276286309,0.5323,1246046767,8693865,0.006977,163204638,46125006,0.282621,1.005078
20260412_130122,4,3,32768,1,9666943.73,14654654418,7386465151,0.5040,1115324318,6205369,0.005564,136088920,30610056,0.224927,1.007403
20260412_130126,4,4,32768,1,9893263.39,16532253162,7567751573,0.4578,1139671346,7842787,0.006882,157160798,39565562,0.251752,1.008775
20260412_130130,4,5,32768,1,7826531.51,15441625603,7279694031,0.4714,1099434899,7109405,0.006466,141208736,35538570,0.251674,1.008209
20260412_130133,4,6,32768,1,9436756.30,15706229258,7224660883,0.4600,1099667175,8367198,0.007609,139104470,32688646,0.234993,1.006926
20260412_130137,4,7,32768,1,8887232.82,16437342200,7845314314,0.4773,1172351202,7559791,0.006448,151415020,35173842,0.232301,1.012276
20260412_130140,4,8,32768,1,8809617.93,14745156485,7441492374,0.5047,1123131022,6680656,0.005948,140211293,32376298,0.230911,1.005365
20260412_130144,4,9,32768,1,8680123.37,15957353811,7536952097,0.4723,1131172276,8158206,0.007212,150683572,35599533,0.236254,1.008935
20260412_130148,4,10,32768,1,6881187.17,16386130037,7689858813,0.4693,1164560015,9709341,0.008337,157335320,39642585,0.251962,1.007341
20260412_130151,4,11,32768,1,9450054.28,16718519353,7456712252,0.4460,1137650766,8103002,0.007123,150887242,35449125,0.234938,1.008331
20260412_130155,4,12,32768,1,8161807.93,14476308624,7598973991,0.5249,1154586624,7069403,0.006123,144076050,33066639,0.229508,1.015739
20260412_130158,5,1,32768,1,8168417.21,15253636103,7354054299,0.4821,1113102216,8626643,0.007750,141515809,35047785,0.247660,1.009607
20260412_130202,5,2,32768,1,9422724.13,15764885026,7135939366,0.4526,1080813295,7678253,0.007104,140080449,34503844,0.246314,1.005340
20260412_130206,5,3,32768,1,8733599.35,14380001208,7381470845,0.5133,1119844710,8737990,0.007803,133909682,34491464,0.257573,1.006449
20260412_130209,5,4,32768,1,8804039.85,14752843734,7274901084,0.4931,1099497222,9345954,0.008500,136829093,34876080,0.254888,1.008397
20260412_130213,5,5,32768,1,9071685.44,12656723458,9493135463,0.7500,1434626583,11965270,0.008340,184845237,55070327,0.297927,1.007621
20260412_130216,5,6,32768,1,9920640.97,17238781805,8775469836,0.5091,1328434040,10037997,0.007556,171343270,43591105,0.254408,1.005374
20260412_130220,5,7,32768,1,8749260.95,15387150435,7232446088,0.4700,1085752820,7627893,0.007025,139524812,31646325,0.226815,1.007696
20260412_130224,5,8,32768,1,9529197.40,16653261127,7589141397,0.4557,1155777459,8975907,0.007766,152550031,37088334,0.243122,1.006723
20260412_130227,5,9,32768,1,8421921.99,16228510931,8217071011,0.5063,1245382305,9541607,0.007662,163146943,40796228,0.250058,1.008413
20260412_130231,5,10,32768,1,8222849.70,13553519948,6518739368,0.4810,992655299,7473158,0.007528,127328926,30539814,0.239850,1.007775
20260412_130235,5,11,32768,1,8492893.18,15814539930,7039075373,0.4451,1065873868,8060445,0.007562,145430502,34987929,0.240582,1.006533
20260412_130238,5,12,32768,1,7890739.13,15505267750,7161477924,0.4619,1070826707,7888426,0.007367,141456571,33664318,0.237983,1.006305
20260412_130242,6,1,32768,1,8058726.50,14485737318,7694962773,0.5312,1160437059,9926455,0.008554,141059563,36855983,0.261280,1.010216
20260412_130245,6,2,32768,1,8207937.84,17318968368,7622518332,0.4401,1141122926,10503302,0.009204,155777882,38940971,0.249978,1.007362
20260412_130249,6,3,32768,1,7591575.08,14945299086,7310306938,0.4891,1097325637,8505906,0.007751,148005791,36371401,0.245743,1.008202
20260412_130253,6,4,32768,1,8658814.01,16354158426,7812156050,0.4777,1175116613,8446851,0.007188,159538404,38831246,0.243397,1.014158
20260412_130256,6,5,32768,1,9374358.12,16430927997,7546060636,0.4593,1139043752,8900680,0.007814,149828031,37231960,0.248498,1.005438
20260412_130300,6,6,32768,1,8213132.88,14823434725,7405826442,0.4996,1118650927,8680157,0.007759,142401904,35409720,0.248660,1.012341
