producer,consumer,dequeue_path,enqueue_path,atomics_control,other_code,backoff_spin,buffer_access,Other
9,6,17.4300,71.6800,3.7800,2.5400,2.6500,1.3300,0.5900
9,7,24.2000,65.2900,3.4200,2.3000,2.5800,1.5400,0.6700
9,8,31.6800,57.2000,3.9500,2.9300,2.5900,1.3200,0.3300
9,9,34.2100,54.7800,3.6000,2.5900,2.3800,1.5900,0.8500
9,10,36.4500,51.6800,3.8400,3.2100,2.6700,1.6000,0.5500
9,11,13.9300,73.8900,4.8900,2.1400,2.7400,2.0200,0.3900
9,12,51.5800,37.1900,3.2600,3.9100,2.1500,1.6100,0.3000
10,1,4.0200,86.2800,3.1800,2.3600,2.3500,1.6200,0.1900
10,2,9.0000,82.2100,3.1900,1.7800,2.0300,1.6200,0.1700
10,3,10.3600,79.9000,4.0100,1.8500,2.0800,1.4000,0.4000
10,4,16.0000,74.2900,3.4400,1.9000,2.2300,1.4200,0.7200
10,5,18.0100,72.0500,3.4100,2.1800,2.3300,1.5600,0.4600
10,6,26.1400,62.4300,4.3600,2.9200,2.1600,1.4800,0.5100
10,7,37.4500,50.2600,4.1500,3.1400,2.2300,1.6500,1.1200
10,8,30.6600,57.9000,4.3900,2.8600,2.3300,1.4300,0.4300
10,9,26.8800,61.4200,4.5200,2.5200,2.3100,1.8600,0.4900
10,10,17.0100,71.4600,3.6300,2.3700,2.9700,2.0100,0.5500
10,11,31.4900,57.2200,4.1000,2.9800,2.4000,1.3500,0.4600
10,12,49.1700,38.4400,3.8400,3.3300,2.7000,1.3400,1.1800
11,1,5.2600,86.1400,2.9300,2.0400,1.9200,1.3500,0.3600
11,2,6.7300,83.7400,3.4000,2.0900,2.0700,1.9300,0.0400
11,3,7.7000,81.1900,3.9100,2.0000,2.6300,1.6700,0.9000
11,4,9.9400,81.3800,2.9600,2.0900,1.8800,1.6100,0.1400
11,5,14.1900,76.3800,3.6600,1.8100,2.3200,1.4500,0.1900
11,6,16.8900,73.1000,3.9300,2.4200,2.0900,1.2200,0.3500
11,7,17.8200,72.4200,3.2300,2.2000,2.5400,1.5900,0.2000
11,8,21.0600,68.8700,3.8300,2.0200,2.4800,1.4600,0.2800
11,9,40.3600,47.7700,4.0300,3.5200,2.1000,1.6400,0.5800
11,10,26.4400,62.1800,4.4600,2.4100,2.5000,1.2300,0.7800
11,11,31.7500,56.7800,4.3400,2.7600,2.1800,1.2500,0.9400
11,12,46.9700,40.5900,3.8800,3.9000,2.1200,1.7800,0.7600
12,1,5.3300,86.1800,3.2900,1.6100,2.0500,1.3300,0.2100
12,2,5.0600,85.7500,3.3200,1.9200,2.2200,1.5300,0.2000
12,3,8.9800,80.9000,3.3900,2.2700,2.2500,1.8000,0.4100
12,4,8.8300,81.7200,3.2400,1.8700,2.3100,1.7300,0.3000
12,5,21.0400,67.6200,4.0700,2.7500,2.2100,1.6600,0.6500
12,6,11.7600,77.5700,4.0700,2.4800,2.2600,1.6600,0.2000
12,7,17.5500,71.8300,3.8600,2.0200,2.3700,1.3700,1.0000
12,8,22.6000,66.3300,4.3800,2.0900,2.5600,1.4200,0.6200
12,9,37.1100,51.2600,3.4300,3.4000,2.5800,1.5800,0.6400
12,10,35.9100,51.0700,5.0000,3.5900,2.2400,1.5600,0.6300
12,11,22.3000,66.4500,4.4400,1.9600,2.6500,1.6600,0.5400
12,12,44.9600,43.1800,3.7000,3.5100,2.3800,1.3400,0.9300
